parentEdu,parentEduCode,Y
"bachelor's degree",5,72.6667
"some college",3,82.3333
"master's degree",6,92.6667
"associate's degree",4,49.3333
"some college",3,76.3333
"associate's degree",4,77.3333
"some college",3,91.6667
"some college",3,40.6667
"high school",2,65.0000
"high school",2,49.3333
"associate's degree",4,54.6667
"associate's degree",4,45.0000
"high school",2,73.0000
"some college",3,73.3333
"master's degree",6,53.6667
"some high school",1,74.0000
"high school",2,87.6667
"some high school",1,26.0000
"master's degree",6,44.6667
"associate's degree",4,57.6667
"high school",2,66.0000
"some college",3,70.0000
"some college",3,50.3333
"some high school",1,71.6667
"bachelor's degree",5,75.0000
"master's degree",6,73.0000
"some college",3,59.3333
"bachelor's degree",5,70.3333
"high school",2,68.3333
"master's degree",6,69.0000
"some college",3,72.3333
"some college",3,63.0000
"master's degree",6,64.3333
"some college",3,40.0000
"some college",3,88.6667
"associate's degree",4,80.3333
"associate's degree",4,79.3333
"some high school",1,57.6667
"associate's degree",4,84.3333
"associate's degree",4,56.6667
"associate's degree",4,56.6667
"associate's degree",4,66.3333
"associate's degree",4,58.6667
"some college",3,63.3333
"associate's degree",4,53.3333
"associate's degree",4,58.6667
"associate's degree",4,60.6667
"high school",2,71.0000
"associate's degree",4,69.0000
"high school",2,82.6667
"some college",3,52.0000
"associate's degree",4,71.3333
"some college",3,46.3333
"high school",2,80.3333
"some high school",1,80.6667
"high school",2,39.0000
"associate's degree",4,84.3333
"associate's degree",4,52.0000
"some college",3,58.3333
"some high school",1,9.0000
"bachelor's degree",5,75.0000
"some high school",1,37.3333
"associate's degree",4,59.3333
"associate's degree",4,73.3333
"some high school",1,58.6667
"some high school",1,64.0000
"some high school",1,39.6667
"some college",3,68.6667
"associate's degree",4,58.3333
"associate's degree",4,53.3333
"some college",3,64.6667
"some college",3,60.3333
"associate's degree",4,46.6667
"some high school",1,58.0000
"some high school",1,46.3333
"associate's degree",4,41.0000
"some high school",1,26.0000
"bachelor's degree",5,79.6667
"some high school",1,69.0000
"master's degree",6,66.0000
"associate's degree",4,48.6667
"high school",2,46.3333
"some college",3,50.3333
"associate's degree",4,66.3333
"high school",2,38.3333
"some college",3,78.3333
"some college",3,82.3333
"associate's degree",4,72.0000
"some college",3,65.0000
"some high school",1,80.3333
"bachelor's degree",5,70.3333
"high school",2,32.3333
"high school",2,73.6667
"associate's degree",4,46.0000
"some college",3,85.6667
"associate's degree",4,80.3333
"some high school",1,64.3333
"some college",3,68.3333
"some college",3,62.3333
"bachelor's degree",5,64.6667
"some college",3,71.0000
"bachelor's degree",5,72.0000
"associate's degree",4,88.3333
"high school",2,50.3333
"some college",3,91.3333
"some college",3,65.6667
"master's degree",6,95.6667
"associate's degree",4,64.3333
"associate's degree",4,66.0000
"some high school",1,68.6667
"associate's degree",4,88.0000
"high school",2,55.3333
"associate's degree",4,51.3333
"some college",3,54.3333
"bachelor's degree",5,99.6667
"high school",2,78.3333
"bachelor's degree",5,80.6667
"bachelor's degree",5,79.6667
"some high school",1,58.3333
"some college",3,63.0000
"bachelor's degree",5,86.6667
"associate's degree",4,90.6667
"some college",3,91.3333
"high school",2,58.6667
"some college",3,78.6667
"high school",2,89.3333
"some high school",1,69.0000
"some college",3,72.0000
"master's degree",6,79.3333
"bachelor's degree",5,50.3333
"master's degree",6,85.0000
"some high school",1,43.3333
"some college",3,77.0000
"some college",3,80.0000
"bachelor's degree",5,76.0000
"bachelor's degree",5,53.6667
"some high school",1,48.6667
"high school",2,60.3333
"associate's degree",4,64.0000
"some college",3,67.0000
"some high school",1,73.0000
"some college",3,61.6667
"some college",3,50.3333
"high school",2,49.0000
"some college",3,79.6667
"some college",3,31.3333
"some high school",1,82.3333
"associate's degree",4,69.0000
"bachelor's degree",5,74.6667
"associate's degree",4,97.6667
"some high school",1,66.0000
"bachelor's degree",5,70.6667
"associate's degree",4,65.0000
"bachelor's degree",5,50.0000
"some high school",1,63.3333
"some college",3,82.3333
"high school",2,72.6667
"some college",3,60.0000
"associate's degree",4,78.0000
"associate's degree",4,64.0000
"associate's degree",4,78.0000
"some college",3,82.6667
"master's degree",6,51.3333
"high school",2,51.3333
"master's degree",6,88.0000
"bachelor's degree",5,98.6667
"high school",2,51.6667
"master's degree",6,70.6667
"high school",2,76.3333
"some college",3,70.6667
"high school",2,73.0000
"some high school",1,86.6667
"some college",3,82.0000
"associate's degree",4,66.6667
"bachelor's degree",5,49.3333
"master's degree",6,86.3333
"high school",2,52.6667
"associate's degree",4,75.0000
"master's degree",6,61.3333
"some high school",1,99.0000
"master's degree",6,68.3333
"some college",3,58.6667
"high school",2,49.0000
"associate's degree",4,68.0000
"some high school",1,48.6667
"associate's degree",4,65.6667
"high school",2,73.6667
"some high school",1,65.3333
"some high school",1,48.3333
"bachelor's degree",5,84.0000
"associate's degree",4,66.6667
"some college",3,79.3333
"some high school",1,64.0000
"some college",3,67.0000
"master's degree",6,79.3333
"associate's degree",4,56.0000
"some high school",1,64.3333
"high school",2,54.0000
"some college",3,51.0000
"bachelor's degree",5,77.6667
"associate's degree",4,79.0000
"some college",3,74.3333
"associate's degree",4,71.6667
"associate's degree",4,64.6667
"some college",3,47.3333
"some high school",1,74.3333
"bachelor's degree",5,68.6667
"high school",2,79.0000
"some college",3,77.0000
"some college",3,61.6667
"some high school",1,79.3333
"some college",3,30.0000
"high school",2,54.6667
