some high school,high school,some college,associate's degree,bachelor's degree,master's degree
9.0000,18.3333,23.3333,31.6667,39.0000,44.6667
26.0000,23.0000,29.6667,39.6667,39.6667,50.6667
26.0000,29.3333,30.0000,41.0000,40.0000,51.0000
29.6667,30.6667,31.3333,43.3333,46.6667,51.3333
31.0000,32.3333,34.6667,43.6667,46.6667,51.6667
34.6667,34.3333,38.0000,44.3333,48.3333,53.6667
37.3333,38.3333,40.0000,45.0000,48.3333,54.3333
37.6667,38.3333,40.6667,45.3333,49.3333,57.3333
39.3333,38.6667,40.6667,46.0000,50.0000,59.0000
39.6667,39.0000,43.0000,46.0000,50.3333,59.3333
41.3333,41.0000,43.6667,46.0000,53.6667,60.6667
42.3333,42.0000,46.3333,46.6667,54.6667,61.0000
43.0000,43.3333,46.3333,47.6667,55.3333,61.3333
43.3333,44.0000,47.3333,48.0000,55.3333,61.6667
43.3333,44.6667,49.6667,48.6667,55.6667,63.0000
44.0000,44.6667,50.3333,49.3333,56.0000,63.3333
44.6667,45.0000,50.3333,49.3333,56.0000,64.3333
46.3333,45.3333,50.3333,50.0000,56.3333,64.3333
47.3333,45.6667,50.3333,50.0000,56.3333,64.6667
48.0000,46.3333,50.6667,50.3333,58.3333,66.0000
48.3333,46.3333,50.6667,51.3333,59.6667,68.3333
48.3333,46.6667,51.0000,51.6667,60.3333,68.3333
48.3333,47.0000,51.0000,51.6667,60.3333,69.0000
48.6667,47.6667,51.0000,51.6667,60.6667,70.0000
48.6667,48.0000,51.0000,51.6667,61.0000,70.0000
48.6667,48.0000,51.3333,52.0000,61.3333,70.6667
49.0000,48.3333,52.0000,52.0000,62.0000,71.6667
49.0000,49.0000,52.3333,52.6667,62.0000,72.6667
49.6667,49.0000,52.3333,53.0000,62.6667,73.0000
50.0000,49.0000,54.0000,53.0000,64.0000,73.3333
50.0000,49.0000,54.3333,53.3333,64.3333,75.0000
50.3333,49.3333,54.6667,53.3333,64.3333,75.6667
51.3333,49.6667,54.6667,53.6667,64.6667,77.0000
51.6667,50.0000,55.0000,53.6667,65.0000,77.0000
51.6667,50.3333,55.6667,53.6667,65.3333,77.3333
51.6667,51.3333,56.0000,54.0000,65.3333,78.0000
52.0000,51.3333,56.0000,54.6667,66.0000,78.3333
52.3333,51.6667,56.3333,54.6667,66.3333,79.3333
52.6667,51.6667,56.3333,55.3333,66.6667,79.3333
53.3333,52.0000,57.0000,55.6667,67.0000,82.0000
53.3333,52.3333,57.3333,55.6667,67.3333,83.3333
54.0000,52.3333,57.3333,55.6667,67.3333,83.6667
54.0000,52.6667,58.3333,56.0000,67.6667,84.6667
54.3333,52.6667,58.3333,56.0000,67.6667,85.0000
55.3333,52.6667,58.3333,56.0000,67.6667,86.0000
56.0000,52.6667,58.3333,56.3333,68.0000,86.3333
56.3333,52.6667,58.6667,56.6667,68.0000,86.3333
56.6667,53.6667,58.6667,56.6667,68.6667,86.6667
57.3333,53.6667,59.0000,57.0000,69.0000,87.0000
57.6667,54.0000,59.0000,57.3333,69.0000,87.6667
57.6667,54.0000,59.0000,57.6667,69.0000,88.0000
57.6667,54.3333,59.3333,57.6667,69.3333,88.3333
57.6667,54.3333,59.3333,57.6667,70.0000,89.3333
57.6667,54.6667,59.3333,58.3333,70.3333,92.6667
58.0000,54.6667,59.3333,58.6667,70.3333,93.3333
58.0000,54.6667,60.0000,58.6667,70.3333,94.0000
58.3333,54.6667,60.0000,58.6667,70.6667,95.6667
58.3333,55.0000,60.0000,59.0000,71.0000,97.3333
58.6667,55.3333,60.3333,59.3333,71.0000,97.6667
58.6667,55.6667,60.3333,60.3333,71.3333,
59.0000,55.6667,60.6667,60.6667,71.3333,
59.0000,56.0000,60.6667,61.3333,72.0000,
59.0000,56.0000,60.6667,61.3333,72.6667,
59.6667,56.6667,61.0000,61.3333,73.0000,
60.0000,57.0000,61.0000,61.6667,73.0000,
60.0000,57.0000,61.0000,61.6667,73.0000,
60.3333,57.3333,61.3333,62.0000,73.6667,
60.6667,57.3333,61.3333,63.0000,73.6667,
61.0000,57.3333,61.3333,63.0000,74.0000,
61.3333,58.3333,61.6667,63.3333,74.0000,
61.6667,58.6667,61.6667,63.6667,74.6667,
62.0000,58.6667,62.0000,63.6667,75.0000,
62.3333,59.0000,62.3333,63.6667,75.0000,
63.3333,59.6667,62.3333,64.0000,75.0000,
63.6667,59.6667,62.3333,64.0000,75.0000,
64.0000,59.6667,62.3333,64.3333,75.6667,
64.0000,60.0000,62.6667,64.3333,76.0000,
64.3333,60.0000,63.0000,64.3333,76.6667,
64.3333,60.0000,63.0000,64.6667,77.3333,
64.6667,60.3333,63.0000,64.6667,77.6667,
65.3333,60.3333,63.3333,64.6667,78.0000,
65.3333,61.6667,63.6667,64.6667,78.6667,
65.3333,62.0000,63.6667,65.0000,78.6667,
65.6667,62.3333,63.6667,65.6667,79.6667,
66.0000,62.3333,64.0000,65.6667,79.6667,
66.0000,62.3333,64.0000,66.0000,79.6667,
66.0000,62.6667,64.6667,66.0000,79.6667,
66.0000,62.6667,64.6667,66.0000,80.6667,
66.3333,63.0000,65.0000,66.3333,80.6667,
66.6667,63.3333,65.0000,66.3333,82.0000,
67.0000,63.6667,65.0000,66.6667,83.0000,
67.0000,63.6667,65.0000,66.6667,83.0000,
67.3333,64.0000,65.3333,67.3333,83.0000,
67.6667,64.0000,65.3333,67.3333,83.0000,
68.0000,64.3333,65.3333,68.0000,83.6667,
68.0000,64.6667,65.6667,68.0000,84.0000,
68.0000,64.6667,65.6667,68.0000,85.0000,
68.3333,65.0000,66.6667,68.3333,85.6667,
68.3333,65.0000,66.6667,68.3333,86.0000,
68.6667,65.0000,67.0000,68.6667,86.3333,
69.0000,65.3333,67.0000,68.6667,86.6667,
69.0000,65.6667,67.0000,68.6667,87.0000,
69.3333,65.6667,67.0000,68.6667,88.3333,
69.3333,65.6667,67.6667,68.6667,88.3333,
69.6667,66.0000,68.0000,69.0000,88.6667,
70.0000,66.0000,68.0000,69.0000,90.3333,
70.0000,66.0000,68.0000,69.0000,91.6667,
70.3333,66.0000,68.3333,69.0000,92.6667,
71.3333,66.0000,68.3333,69.3333,93.0000,
71.3333,66.3333,68.3333,69.3333,96.3333,
71.6667,66.6667,68.3333,69.6667,96.6667,
71.6667,66.6667,68.6667,69.6667,97.0000,
72.0000,67.0000,68.6667,70.3333,97.3333,
72.0000,67.0000,68.6667,71.0000,97.6667,
72.6667,67.3333,69.0000,71.3333,98.6667,
72.6667,67.6667,69.3333,71.3333,99.6667,
73.0000,67.6667,69.3333,71.3333,100.0000,
73.0000,68.0000,69.3333,71.3333,100.0000,
73.3333,68.0000,70.0000,71.3333,,
73.3333,68.0000,70.0000,71.3333,,
73.3333,68.0000,70.0000,71.3333,,
