i,fi
0,26
1,23
2,20
3,13
4,18
5,18
6,17
7,20
8,19
9,20
10,18
11,21
12,17
13,19
14,19
15,28
16,13
17,16
18,12
19,17
20,23
21,24
22,20
23,19
24,19
25,13
26,21
27,26
28,22
29,32
30,21
31,21
32,19
33,16
34,16
35,20
36,18
37,12
38,21
39,20
40,20
41,17
42,11
43,17
44,23
45,15
46,27
47,18
48,15
49,17
50,23
51,30
52,21
53,19
54,19
55,23
56,16
57,18
58,16
59,18
60,25
61,21
62,16
63,17
64,22
65,21
66,14
67,15
68,22
69,17
70,17
71,26
72,16
73,22
74,17
75,19
76,17
77,19
78,20
79,23
80,18
81,22
82,21
83,17
84,28
85,20
86,18
87,27
88,11
89,14
90,20
91,18
92,23
93,19
94,17
95,23
96,20
97,12
98,18
99,20
100,29
101,18
102,24
103,15
104,19
105,21
106,20
107,16
108,17
109,21
110,20
111,22
112,21
113,22
114,16
115,29
116,17
117,18
118,17
119,18
120,14
121,21
122,25
123,20
124,29
125,26
126,18
127,19
128,18
129,17
130,20
131,22
132,21
133,27
134,26
135,15
136,18
137,20
138,28
139,15
140,27
141,19
142,22
143,28
144,12
145,22
146,12
147,26
148,21
149,27
150,20
151,16
152,14
153,18
154,20
155,20
156,14
157,22
158,11
159,22
160,27
161,25
162,12
163,20
164,17
165,16
166,18
167,23
168,21
169,28
170,18
171,20
172,18
173,13
174,29
175,21
176,22
177,23
178,19
179,13
180,21
181,20
182,18
183,15
184,24
185,28
186,18
187,20
188,21
189,19
190,19
191,22
192,20
193,27
194,15
195,22
196,15
197,13
198,22
199,16
200,22
201,21
202,24
203,22
204,17
205,25
206,19
207,25
208,16
209,22
210,28
211,19
212,24
213,20
214,17
215,28
216,22
217,23
218,20
219,14
220,25
221,25
222,23
223,12
224,22
225,17
226,28
227,24
228,8
229,17
230,12
231,19
232,26
233,16
234,21
235,16
236,27
237,20
238,18
239,22
240,19
241,30
242,19
243,14
244,22
245,18
246,19
247,19
248,19
249,21
250,16
251,22
252,21
253,14
254,21
255,17
256,24
257,22
258,20
259,30
260,14
261,28
262,22
263,19
264,21
265,31
266,17
267,19
268,21
269,23
270,14
271,34
272,22
273,15
274,26
275,19
276,21
277,15
278,11
279,29
280,31
281,26
282,19
283,14
284,20
285,17
286,23
287,15
288,18
289,20
290,28
291,16
292,23
293,14
294,20
295,19
296,15
297,12
298,19
299,18
300,22
301,18
302,27
303,14
304,21
305,15
306,20
307,19
308,24
309,13
310,18
311,26
312,18
313,14
314,24
315,22
316,17
317,13
318,26
319,28
320,23
321,20
322,27
323,23
324,17
325,23
326,27
327,14
328,25
329,23
330,18
331,20
332,14
333,22
334,20
335,20
336,21
337,16
338,22
339,22
340,18
341,21
342,22
343,19
344,25
345,15
346,17
347,18
348,16
349,14
350,23
351,17
352,19
353,24
354,10
355,32
356,19
357,14
358,15
359,22
360,25
361,23
362,19
363,19
364,20
365,18
366,18
367,15
368,21
369,23
370,20
371,26
372,15
373,13
374,13
375,18
376,22
377,10
378,22
379,17
380,21
381,21
382,18
383,21
384,26
385,22
386,17
387,33
388,18
389,27
390,23
391,14
392,22
393,19
394,24
395,15
396,27
397,21
398,30
399,24
400,12
401,20
402,16
403,19
404,19
405,18
406,17
407,21
408,20
409,25
410,19
411,18
412,17
413,23
414,17
415,23
416,20
417,18
418,25
419,19
420,24
421,25
422,16
423,17
424,21
425,22
426,14
427,26
428,23
429,28
430,15
431,20
432,25
433,19
434,23
435,18
436,13
437,29
438,17
439,16
440,21
441,17
442,20
443,21
444,15
445,17
446,18
447,23
448,22
449,24
450,18
451,22
